SR_NO,DISTRICT,BENEFICIARY_SELECTION,COMPLETED,FOUNDATION,LINTEL,ROOF,PROGRESS_TOTAL,UNSTARTED
1,Bagalkot,5829,646,37,41,599,677,4506
2,Ballari,16317,3242,3966,72,1009,5047,8028
3,Belagavi,18297,1714,1901,53,506,2460,14123
4,Bengaluru_Rural,1651,390,0,72,38,110,1151
5,Bengaluru_Urban,135576,5557,42635,604,7304,50543,79476
6,Bidar,12175,1390,190,63,247,500,10285
7,Chamarajanagar,715,338,52,18,217,287,90
8,Chikkaballapur,2649,1012,27,0,18,45,1592
9,Chikkamagaluru,4011,406,159,41,73,273,3332
10,Chitradurga,11324,515,96,157,583,836,9973
11,DakshinaKannada,2854,32,216,160,224,600,2222
12,Davanagere,5069,1303,0,12,340,352,3414
13,Dharwad,10267,224,2216,160,1053,3429,6614
14,Gadag,7304,1494,699,1921,582,3202,2608
15,Hassan,4997,96,217,535,1151,1903,2998
16,Haveri,10183,1573,392,0,20,412,8198
17,Kalaburagi,12730,2353,349,83,324,756,9621
18,Kodagu,8,0,0,0,0,0,8
19,Kolar,3853,1808,42,117,335,494,1551
20,Koppal,3097,335,0,2,0,2,2760
21,Mandya,2134,343,154,299,484,937,854
22,Mysuru,13756,1431,2418,159,438,3015,9310
23,Raichur,8489,1997,22,41,133,196,6296
24,Ramanagara,9174,1994,876,639,1699,3214,3966
25,Shivamogga,14549,941,183,227,583,993,12615
26,Tumakuru,7263,1460,793,48,502,1343,4460
27,Udupi,1150,40,36,0,204,240,870
28,UttaraKannada,8161,690,416,3,1016,1435,6036
29,Vijayanagara ,3984,0,0,0,0,0,3984
30,Vijayapura,9896,2154,1400,32,1510,2942,4800
31,Yadgiri,1702,997,0,0,0,0,705
,Total,349164,36475,59492,5559,21192,86243,226446
